ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001172661-25-002421	0	53	163953577	
0000950123-25-005829	0	766	5146513693	N
0001541596-25-000004	0	146	216897	N
0001661580-25-000005	0	301	11294522	N
0000894309-25-000005	0	144	137620198	N
0001948391-25-000003	0	13	6501331677	N
0001984475-25-000005	0	527	1186645442	N
0001595888-25-000100	6	13402	396972524215	N
0001172661-25-002420	0	17	197921368	
0001140361-25-019783	0	199	867384565	
0001140361-25-019781	0	200	804287614	
0001140361-25-019777	0	197	655659086	
0001140361-25-019771	0	192	612515724	
0001140361-25-019764	0	181	539362597	
0001140361-25-019761	0	161	580320482	
0001140361-25-019758	0	148	521048409	
0001140361-25-019754	0	137	516093985	
0001140361-25-019751	0	197	655659086	
0001085146-25-003385	0	455	2941755651	N
0001140361-25-019747	0	136	496569829	
0001140361-25-019742	0	131	553232909	
0001172661-25-002419	0	598	2345112970	
0001140361-25-019740	0	115	550748224	
0001140361-25-019738	0	115	501100453	
0001140361-25-019736	0	113	504014219	
0001140361-25-019734	0	114	453253568	
0001140361-25-019732	0	102	410611443	
0001140361-25-019730	0	99	358284936	
0001140361-25-019727	0	105	473576847	
0001802952-25-000004	1	372	205977974	N
0001802816-25-000003	0	130	256944185	N
0001140361-25-019725	0	103	347486856	
0001140361-25-019723	0	100	416533420	
0001859677-25-000005	0	106	273004915	N
0001140361-25-019721	0	101	325165185	
0001920624-25-000003	0	0	0	Y
0001140361-25-019719	0	100	372672492	
0001140361-25-019717	0	95	334133633	
0001140361-25-019715	0	96	271558485	
0001140361-25-019713	0	97	302886834	
0001600745-25-000004	0	1	692749	N
0001140361-25-019708	0	98	274660661	
0001140361-25-019706	0	86	226153312	
0001140361-25-019704	0	85	205814029	
0001140361-25-019702	0	84	187296577	
0001140361-25-019700	0	80	172226672	
0001140361-25-019697	0	74	162360480	
0001140361-25-019695	0	74	137442199	
0001809574-25-000006	0	88	277325596	N
0002048423-25-000006	0	712	229593590	N
0002046333-25-000004	0	10	867868984	N
0001172661-25-002417	0	66	106117636	
0001303159-25-000003	0	513	7858918432	N
0001172661-25-002416	1	18	7636845	
0000950123-25-005812	10	20404	390540811931	N
0001085146-25-003384	4	51	132747572	N
0001140361-25-019679	1	6	491854804	
0001839498-25-000002	0	36	187481578	N
0001172661-25-002415	0	50	118425251	
0001731731-25-000005	0	117	330239612	N
0001665198-25-000006	0	1243	19928326681	N
0001701717-25-000011	0	8	1456600331	N
0001085146-25-003382	3	51	198264210	N
0001085146-25-003381	3	45	198467877	N
0001085146-25-003380	3	46	193042991	N
0001085146-25-003379	3	43	177774259	N
0001085146-25-003378	4	50	171020686	N
0001085146-25-003377	4	44	155686891	N
0001085146-25-003376	4	63	162398655	N
0001085146-25-003375	4	66	153251186	N
0001085146-25-003374	4	59	141193101	N
0001085146-25-003373	4	54	125468523	N
0001085146-25-003371	4	47	152134593	N
0001085146-25-003370	3	31	138245455	N
0001085146-25-003369	3	31	131627513	N
0001085146-25-003368	3	25	129588724	N
0001085146-25-003367	3	24	117747849	N
0001085146-25-003366	3	28	110411501	N
0001085146-25-003365	0	0	0	N
0001636587-25-000021	0	22	149945296	N
0001213900-25-044971	0	3	8608638284	
0001214659-25-008012	0	156	226539175	
0002033266-25-000003	1	219	137937418	
0001636587-25-000020	0	21	185821131	
0001214659-25-008014	0	3	4745561	
0001602119-25-000005	0	12	44137314	N
0000769993-25-000301	7	12510	617838742182	N
0001214659-25-007987	0	151	316995409	
0001213900-25-044857	0	32	1328886001	
0001213900-25-044858	0	32	2530340033	
0001095449-25-000046	0	186	401416884	N
0001905128-25-000004	5	121	405642047	N
0001095449-25-000045	0	928	814340848	N
0001962449-25-000003	0	897	3191805520	
0001941040-25-000318	0	25	1075730899	
0001420506-25-001324	0	129	271121091	N
0000749044-25-000002	0	428	711113	N
0001332811-25-000005	0	125	389713799	N
