ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000891943-25-000005	0	892	1652053000	N
0001172661-25-001921	0	176	601717251	
0000919574-25-003082	4	249	2422475563	
0001905367-25-000002	0	49	106792061	N
0000919574-25-003094	0	275	489560501	
0001461790-25-000039	0	317	788186181	N
0001802225-25-000002	0	107	167283383	N
0001475933-25-000006	0	249	100355341	N
0000919574-25-003099	2	12	4518120082	
0000919574-25-003043	0	35	644988958	
0001058470-25-000002	0	158	427743895	N
0000898432-25-000343	0	19	89152617	
0000919574-25-003038	0	38	5506018063	
0001941040-25-000309	0	274	3034019313	
0000919574-25-003060	1	34	342611727	
0000919574-25-003046	0	5	659684480	
0001915842-25-000015	0	89	3514455855	N
0001095449-25-000039	0	34	169160688	N
0001768111-25-000008	0	18	91510006	N
0000919574-25-003078	1	192	47995753206	
0000949509-25-000002	2	170	5169601827	N
0001172661-25-001924	0	59	685774501	
0001695459-25-000004	0	2	2120065697	N
0001095449-25-000041	0	149	197393107	N
0000919574-25-003069	2	13	1272358670	
0000919574-25-003057	0	13	49223043	
0001650258-25-000004	0	26	282287493	N
0001682021-25-000004	0	283	620935731	
0000919574-25-003100	2	1	44648912	
0000919574-25-003036	0	0	0	Y
0000919574-25-003042	0	4	166672550	
0000919574-25-003092	0	533	13691773542	
0001769089-25-000002	0	130	680655	N
0001862443-25-000005	0	231	96684405	N
0002011548-25-000002	0	152	160732579	N
0001172661-25-001923	0	135	41618178394	
0001140361-25-019049	1	1453	7636263683	
0000919574-25-003074	0	24	149275405	
0000919574-25-003049	1	26	185537700	
0000919574-25-003063	1	18	97662961	
0001941040-25-000310	0	23	289520971	
0000898432-25-000345	1	482	3425843748	
0001827734-25-000003	0	17	1803047380	N
0001905669-25-000003	0	108	111389739	N
0001633227-25-000002	0	124	756208851	N
0000919574-25-003076	1	31	23176295	
0001962685-25-000002	0	104	97352231	N
0001904432-25-000001	0	108	148275178	N
0000895421-25-000379	24	44789	1379068191911	N
0001398344-25-009442	0	128	293973769	
0000019481-25-000010	0	323	76922757	N
0000752798-25-000010	4	0	0	N
0001565332-25-000005	0	19	2950322717	N
0001907054-25-000002	0	171	222380184	N
0001389958-25-000011	4	2983	44563016189	N
0002056243-25-000002	0	74	121096854	N
0000019481-25-000008	2	396	2174412160	N
0001283072-25-000002	4	3116	10886942878	N
0001095449-25-000038	0	179	431128067	N
0002010327-25-000002	0	57	150691771	N
0000019481-25-000006	2	450	4572191100	N
0001104659-25-048610	0	9	4973323258	
0000902664-25-002331	0	6	109893161	
0002010145-25-000002	0	35	86936050	N
0000919574-25-003030	3	115	2025474969	
0001742435-25-000003	0	484	985955278	N
0000895421-25-000378	24	47058	1292343304803	N
0000943663-25-000132	0	90	4783212248	
0001104659-25-048606	1	9	79177472	
0001356954-25-000005	0	41	196204583	N
0001085146-25-003163	1	25	12428201485	N
0001314273-25-000003	0	38	713751	N
0001221073-25-000056	0	242	365347381	
0002011335-25-000002	0	36	1043544223	N
0000019481-25-000003	2	416	1940916576	N
0000912282-25-000523	0	241	3385118634	
0001633799-25-000004	0	49	936054310	N
0001140361-25-018995	0	85	1388957725	
0001356954-25-000004	0	104	128733982	N
0001376474-25-000460	0	53	970145082	
0001095449-25-000037	0	473	237362809	N
0001085146-25-003162	0	0	0	N
0001855713-25-000004	0	284	1316020	N
0001085146-25-003161	1	26	207826464	N
0000826000-25-000004	0	66	97368600	N
0001172661-25-001912	0	34	1537794255	
0001085146-25-003160	0	1	0	N
0001085146-25-003159	0	15	51907910	N
0001085146-25-003158	0	255	328410786	N
0001512716-25-000010	0	10	2544659701	N
0002043964-25-000010	0	6	123020234	N
0001140361-25-018990	0	591	47665197851	
0001140361-25-018989	1	324	128261020	
0001739728-25-000003	3	1664	3343728480	N
0001085146-25-003157	1	93	236307375	N
0001104659-25-048596	1	2	49208478	
0001656150-25-000002	0	46	139292023	N
0001941040-25-000308	1	60	130150403	
0001085146-25-003156	0	2091	12572997542	N
0001974312-25-000008	0	75	386843917	N
0001085146-25-003155	0	111	481352391	N
0001415889-25-012902	0	6	597004105	N
0001085146-25-003154	0	66	1076680648	N
0001140361-25-018988	0	183	159999275	
0000950142-25-001372	0	6	9705092403	
0001415889-25-012897	0	11	93308159	N
0001423296-25-000004	0	164	932784038	N
0001172661-25-001911	0	383	690046582	
0000943663-25-000128	1	8	380903896	
0001140361-25-018982	0	251	661534961	
0001717479-25-000003	0	286	922305	N
0001999371-25-006074	0	98	1047782894	
0001689933-25-000003	0	257	695332999	N
0000898432-25-000338	0	23	245288250	
0001174850-25-000025	0	204	498063063	N
0001172661-25-001910	0	318	246722528	
0001140361-25-018975	0	854	9084204238	
0001172661-25-001909	0	24	224490789	
0000877338-25-000003	0	45	895764012	N
0001540866-25-000005	0	13	298229363	N
0001837343-25-000004	0	17	1343288984	N
0001140361-25-018974	0	1092	13121322222	
0001595521-25-000004	0	218	338906061	N
0001420506-25-001126	0	42	98259545	N
0001323953-25-000010	0	20	2413151580	N
0001224608-25-000034	1	11	119585602	N
0001085146-25-003153	0	31	159825400	N
0001140361-25-018973	0	362	824779463	
0001999371-25-006071	0	1058	23454372865	
0001999371-25-006070	0	10	139457875	
0000950142-25-001368	0	2	310132621	
0000943663-25-000126	0	58	9719634998	
0001172661-25-001908	2	617	19282293589	
0000950142-25-001367	0	3	339800194	
0001974312-25-000007	0	142	1128121640	
0001512716-25-000008	0	117	59925336	N
0000950142-25-001366	0	3	512607740	
0000919574-25-003028	0	10	258677398	
0001767040-25-000002	0	102	177292728	N
0001941040-25-000307	0	59	277193930	
0001974312-25-000006	0	208	656250755	
0001095449-25-000036	0	25	138053459	N
0001172661-25-001907	0	50	390523887	
0001807270-25-000003	1	391	92909428	N
0001974312-25-000005	0	178	2142892784	
0001759354-25-000004	0	50	728164456	N
0001214659-25-007621	3	36	52616583	
0001508236-25-000003	1	8	104989303	N
0001863523-25-000006	0	141	1833238	N
0000943663-25-000124	0	102	733842897	
0001765380-25-000233	6	235	1545759647	N
0001941040-25-000306	0	185	148127957	
0001944877-25-000009	0	50	85232575	N
0001398344-25-009421	0	74	206177506	
0000950123-25-005245	0	6301	23811834723	N
0001892688-25-000113	0	22	810341444	N
0001061768-25-000003	0	23	3496062	N
0000902664-25-002329	0	15	149247910	
0001062993-25-009373	1	838	1191419735	N
0001213900-25-043366	0	79	476372625	
0000950123-25-005242	0	1	0	N
0000950123-25-005243	3	2	3089905728	N
0000950123-25-005241	9	20	10574651549	N
0001569884-25-000006	0	103	351218580	N
0001172661-25-001905	2	1484	7730174464	
0001839430-25-000004	0	191	715903310	N
0000943663-25-000122	0	6	133841943	
0001628280-25-025510	0	6	9675997	N
0001213900-25-043344	4	3	96145123	
0001427119-25-000009	1	17	3638409700	N
0001535845-25-000006	0	1096	46859976888	N
0001750405-25-000004	0	1030	460526513	N
0001968434-25-000002	0	684	139942978	N
0000947871-25-000506	1	1171	9709711333	
0000921895-25-001472	3	10	289049358	
0001759354-25-000003	0	44	154671282	N
0000902664-25-002327	0	21	346907855	
0001995612-25-000004	0	12	336738877	N
0001944877-25-000008	0	125	128673589	N
0001502149-25-000012	1	579	980373	N
0001095449-25-000035	0	238	495392759	N
0001986042-25-000008	0	123	200954851	N
0002012717-25-000003	0	212	321668664	N
0001033475-25-000005	0	69	943617514	N
0001595888-25-000099	6	13510	399265219213	N
0000315080-25-000003	1	298	1740967515	N
0001889539-25-000038	2	3016	17392076023	N
0000950123-25-005225	0	214	175451254525	N
0001172661-25-001901	2	2	90044257	
0001172661-25-001900	0	159	177684584	
0000902664-25-002325	0	4	199343512	
0001085936-25-000023	2	397	3510573126	N
0000950123-25-005224	0	0	0	Y
0000905148-25-001639	6	3485	7274333974	
0001104659-25-048527	0	13	521764233	
0001172661-25-001899	0	468	29948198508	
0001626116-25-000003	2	2531	2433544289	N
0001944889-25-000004	0	15	732196791	N
0000950123-25-005221	0	584	1400205972	N
0001706013-25-000004	0	72	1167861304	N
0001172661-25-001898	0	62	148950432	
0000312348-25-000021	1	1086	69197207	N
0001172661-25-001897	0	2	1323177649	
0001072613-25-000398	0	202	3085607006	
0001104659-25-048521	1	202	517835310	
0001104659-25-048519	3	177	4462826678	
0001172661-25-001896	0	140	382306743	
0001628280-25-025494	1	1	0	Y
0001104659-25-048517	1	642	1899806982	
0000950123-25-005219	0	5	44225589	N
0000701059-25-000010	0	2683	30031493	N
0001398344-25-009417	0	395	4024174273	
0001012975-25-000235	2	35	122618049	N
0001172661-25-001894	0	1194	3125027326	
0001611518-25-000003	0	229	906427424	N
0001172661-25-001893	0	42	2391823304	
0001628280-25-025488	1	8	216209086	N
0001104659-25-048514	0	92	157344431	
0001104659-25-048513	1	617	7161597411	
0000899140-25-000636	0	4	46663856	
0001104659-25-048510	0	960	18231326084	
0001104659-25-048508	1	2	48573107	
0001218210-25-000010	3	1977	94688905412	N
0001172661-25-001889	0	2	88423026	
0001104659-25-048505	1	135	1203677516	
0001095449-25-000034	0	47	108585853	N
0001172661-25-001887	0	154	1884860098	
0000040729-25-000015	2	109	891199934	N
0001140361-25-018931	0	10	17446705	Y
0001172661-25-001886	0	4	347213639	
0001104659-25-048498	0	7	497891186	
0001012975-25-000233	1	11	123562016	N
0001104659-25-048495	1	126	1977412561	
0001835407-25-000003	0	5	486722208	N
0000950142-25-001365	0	15	2979034194	
0001636974-25-000003	0	8	113263538	N
0001214659-25-007612	0	278	1676960651	
0001986042-25-000007	0	53	191201025	N
0001398344-25-009401	2	1271	40858513113	
0000950123-25-005214	0	4	685251392	N
0000950123-25-005213	0	149	549630092	N
0001104659-25-048487	1	134	555884538	
0001628280-25-025471	1	2781	18525167808	N
0001172661-25-001883	1	3978	43153131513	
0000935836-25-000328	0	66	102762727	
0001172661-25-001882	0	25	14020622461	
0001214659-25-007608	0	32	95141876	
0001172661-25-001881	0	4157	22157182390	
0001011438-25-000273	10	408	5637888264	
0000902664-25-002321	0	11	72977341	
0001214659-25-007607	0	20	149090053	
0000064978-25-000005	1	12	164284061	N
0001661140-25-000002	0	93	2444292989	
0001420506-25-001123	0	13	87130700	N
0000950142-25-001363	0	1	162272615	
0001697228-25-000003	0	8	117842201	N
0001104659-25-048481	0	65	5580219427	
0001104659-25-048480	0	3	63557433	
0001085146-25-003152	1	68	601157749	N
0001085146-25-003151	0	577	16298579021	N
0001085146-25-003150	0	38	436833441	N
0001011438-25-000272	0	118	246550358	
0001085146-25-003149	0	232	520073934	N
0001085146-25-003148	0	106	530858423	N
0001085146-25-003147	0	688	934677252	N
0001085146-25-003146	1	28	557097889	N
0001085146-25-003145	0	0	0	N
0001085146-25-003143	0	22	422804902	N
0001085146-25-003142	0	12	65177512	N
0001085146-25-003141	0	0	0	N
0001211028-25-000003	0	1260	2106213	N
0001213900-25-043272	0	153	837801058	
0000921895-25-001465	3	62	841540447	
0001214659-25-007605	0	197	412052022	
0001214659-25-007604	0	142	575624364	
0001454984-25-000007	0	1689	52277218134	N
0001821626-25-000004	0	1621	754331595	N
0001080369-25-000005	0	182	1730357249	N
0000944695-25-000008	2	30	140282175	N
0001512716-25-000006	0	43	110279310	N
0000919574-25-003019	0	77	93371320	
0001172661-25-001876	0	0	0	Y
0001802984-25-000005	0	541	1665844727	N
0001172661-25-001875	0	331	898561776	
0000919574-25-003017	0	7	103931403	
0001940461-25-000004	0	45	49623015	N
0001849486-25-000009	3	1343	14279358186	N
0001104659-25-048460	1	411	2686683	
0000919574-25-003015	2	1853	1122915325	
0001681372-25-000002	0	119334	155556031	N
0000950123-25-005204	0	125	1333277373	N
0000936938-25-000004	1	92	159488263	N
0001420506-25-001116	0	13	115600964	N
0001965613-25-000003	0	17	197744943	N
0001172661-25-001874	0	34	5833381475	
0000919574-25-003011	1	5	105905446	
0001767366-25-000003	0	54	237501515	
0000919574-25-003008	2	51	367291639	
0001736225-25-000021	0	1389	10111667	N
0001437749-25-016810	0	360	374758944	N
0000919574-25-003006	1	35	389418372	
0000950123-25-005195	0	19	241723318	N
0001062993-25-009352	0	1026	11428662087	N
0001420506-25-001114	0	101	536365538	N
0000919574-25-003005	0	45	94896079	
0001420506-25-001111	0	66	293936343	N
0001633445-25-000007	0	1514	8596169607	
0001041062-25-000106	4	5482	77696615970	N
0001214659-25-007598	1	3	200066639	
0001140361-25-018901	1	128	92260165	
0001420506-25-001108	0	0	0	N
0001843019-25-000003	0	35	353559786	N
0001104659-25-048446	0	367	3970104929	
0001971875-25-000002	0	197	323582737	N
0001420506-25-001107	1	69	488995340	N
0000897101-25-000252	0	124	397264741	
0000919574-25-002998	1	16	302770854	
0002048581-25-000008	0	535	403745341	N
0001569667-25-000002	0	235	556645155	N
0001140361-25-018898	0	77	122921735	
0001666736-25-000006	0	292	2225757204	N
0001166588-25-000031	1	16216	170022188937	
0001625959-25-000002	0	236	1581354783	N
0002033920-25-000002	0	68	244592802	N
0001445546-25-003484	4	2791	112906532981	
0001511291-25-000002	0	31	363848	N
0001402828-25-000004	1	1783	123230375360	N
0001102578-25-000004	0	288	20884657376	N
0001315478-25-000012	0	139	13805720791	N
0002045724-25-000002	0	12	1005567727	N
0000914973-25-000003	0	94	230574000	N
0001894188-25-000005	0	22	334853411	N
0001037389-25-000023	0	3406	66072250548	N
0001094429-25-000011	0	526	1990735271	N
0001595077-25-000007	0	34	584065892	N
0001580642-25-003114	0	831	960322734	
0001566887-25-000004	0	32	309958085	N
0001172661-25-001873	0	651	10710546846	
0001444864-25-000004	1	13	154724051	N
0000919574-25-002982	3	47	706088899	
0001595907-25-000002	0	22	80152899	N
0001007280-25-000004	0	2330	27546077363	N
0001056973-25-000008	0	40	256177562	N
0001034541-25-000003	0	30	3216289222	N
0000945621-25-000483	2	5	348902080	
0001172661-25-001872	0	151	504049956	
0001446179-25-000004	0	1055	7159332611	N
0002056320-25-000003	0	24	163440946	N
0001214659-25-007589	0	130	845025719	
0001398344-25-009380	0	32	39786493	
0001730467-25-000003	0	45	486119267	N
0001906827-25-000002	0	0	0	N
0001286478-25-000005	0	264	786051952	N
0001728195-25-000002	0	0	0	N
0001140361-25-018894	0	992	1303485488	
0001512716-25-000004	0	22	283244757	N
0000950123-25-005173	0	79	381926705	N
0000950123-25-005172	0	16	97370604	N
0001445911-25-000020	0	316	1087384	N
0001104659-25-048429	0	184	815512359	
0001109147-25-000003	0	136	10418576328	N
0001025835-25-000084	1	259	169125122	N
0001286478-25-000004	0	253	838943084	N
0001630365-25-000005	0	125	286421871	N
0001666239-25-000008	0	188	538164328	N
0001420506-25-001104	0	161	1026266432	N
0001834913-25-000002	0	41	177674391	N
0001104659-25-048427	0	391	9935736835	
0000950123-25-005167	0	5	185739733	N
0000945621-25-000477	4	571	4720664080	
0001963794-25-000003	0	65	65593370	N
0001842362-25-000003	0	124	229492861	N
0001214659-25-007587	0	94	395236674	
0001469589-25-000005	2	1	0	N
0000919574-25-002964	0	83	235887242	
0001308527-25-000003	0	282	5256808935	N
0001938900-25-000003	0	148	3111954442	N
0001629984-25-000003	0	37	214637638	N
0001469589-25-000003	3	51	122970	N
0001941040-25-000302	0	25	1466508146	
0001743859-25-000005	0	69	119678096	N
0001420506-25-001102	0	66	140634319	N
0001846150-25-000004	0	360	1397124719	N
0001323255-25-000015	3	203	13053682168	
0001172661-25-001871	0	60	2925928782	N
0001539639-25-000004	0	7	162159	N
0000932540-25-000028	0	7517	43689327232	N
0001941040-25-000300	0	10	376665192	
0001140361-25-018882	0	2018	919947831	
0001353098-25-000004	0	117	287504950	N
0001667731-25-000641	0	282	682824307	
0001765380-25-000232	0	313	1096048698	N
0000932540-25-000027	0	7873	34471364471	N
0001298088-25-000009	3	3531	47351600285	N
0000900973-25-000006	3	156	25070806667	N
0000950123-25-005146	3	6	633729869	N
0001132897-25-000003	0	2	95121990	N
0001062993-25-009344	0	58	138836470	Y
0001893893-25-000003	0	320	483760116	N
0001104659-25-048414	0	7	112960603	
0001172661-25-001870	0	127	118625550	
0001172661-25-001869	0	72	115076436	
0001469751-25-000006	0	289	4492423396	N
0001632966-25-000004	0	209	342769514	N
0001172661-25-001867	0	47	66910550100	
0001420506-25-001098	0	11	142932569	N
0001172661-25-001866	0	23	2520552410	
0001390043-25-000002	0	57	284874876	N
0001172661-25-001865	0	85	340806771	
0001719087-25-000004	1	210	84091012	N
0001632966-25-000003	0	231	354468628	N
0001172661-25-001863	0	102	392826854	
0001600035-25-000002	0	210	1227824829	N
0001062993-25-009342	0	146	164693051	N
0001597857-25-000005	1	51	278176573	N
0001904574-25-000005	0	2	95788760	N
0001781948-25-000003	0	37	136128754	N
0000936936-25-000002	0	66	127715	N
0001033984-25-000004	1	110	6534390980	N
0001172661-25-001862	0	5	9457308	
0001172661-25-001861	0	53	678252135	
0001434819-25-000007	2	548	32240041387	
0002010393-25-000004	0	2860	1036250804	N
0001162827-25-000002	0	53	626532130	N
0000872259-25-000005	0	337	19619912219	N
0001172661-25-001860	0	45	231917233	
0001455176-25-000005	0	85	704544402	N
0001415889-25-012859	0	30	194570871	N
0001282189-25-000002	0	33	265217040	N
0001104659-25-048396	3	91	2045491989	
0001085146-25-003139	0	3648	122280922756	N
0001631084-25-000002	0	20	293367523	N
0001420506-25-001093	0	23	115674386	N
0001172661-25-001858	0	15	212269748	
0001085146-25-003138	0	34	1399513104	N
0001172661-25-001855	3	860	17978107883	Y
0001869470-25-000004	0	11	308676567	N
0001303159-25-000002	0	513	7858918432	N
0001996449-25-000003	0	160	232550703	N
0001868643-25-000003	0	257	3163218574	N
0001420506-25-001091	0	38	253722634	N
0001879635-25-000002	0	0	0	N
0002005245-25-000006	2	117	1756466795	
0001446578-25-000002	0	0	0	N
0001013594-25-000645	0	14	383228663	
0001587301-25-000020	0	17	93890571	
0001996109-25-000005	2	12	107903980	N
0001172661-25-001854	0	485	1151848522	
0001587301-25-000019	0	5	103183978	
0001756759-25-000005	0	215	155350580	N
0001765380-25-000231	0	104	92178603	N
0001134007-25-000007	1	123	1124205178	N
0001765923-25-000003	0	0	0	N
0001587301-25-000018	0	5	85541499	
0001172661-25-001853	0	1	102853563	
0001765924-25-000002	0	0	0	N
0001062993-25-009339	0	150	2542464913	N
0002011591-25-000002	0	0	0	N
0001587301-25-000017	0	4	58120807	
0002009262-25-000002	0	0	0	N
0001104659-25-048390	0	1	220582	
0001879009-25-000002	0	0	0	N
0001587301-25-000016	0	4	44565659	
0001879628-25-000004	3	2	184716054	N
0001172661-25-001852	0	273	197246142	
0001761450-25-000002	0	145	295826013	N
0001036248-25-000006	0	80	807114203	N
0002011025-25-000002	0	14	539636124	N
0001839852-25-000003	0	0	0	N
0001021117-25-000002	0	136	520361565	N
0000919574-25-002923	2	9	262294	
0001587301-25-000015	0	4	91162404	N
0001587301-25-000014	0	4	158531908	N
0001446580-25-000031	0	0	0	N
0001765380-25-000230	0	65	311090845	N
0001587301-25-000013	0	4	159562268	N
0000918950-25-000003	0	0	0	N
0001446194-25-000022	4	14161	585859712475	N
0001172661-25-001851	0	94	249919139	
0001587301-25-000012	0	4	190355499	
0001834499-25-000007	1	391	2510768421	N
0001649553-25-000096	0	0	0	N
0001826434-25-000004	0	22	194900511	N
0001081698-25-000003	1	129	212992274	N
0001628277-25-000002	0	0	0	N
0001011712-25-000009	0	0	0	N
0001172661-25-001850	0	131	130043460	
0001172661-25-001849	0	249	436443736	
0001444949-25-000003	3	100	2444009615	N
0001483824-25-000003	0	697	987404536	N
0002051568-25-000005	0	346	134305935	N
0001580642-25-003111	0	1817	10032447225	
0001172661-25-001848	0	8	578891636	
0001739439-25-000008	4	3118	40515361232	N
0001839826-25-000003	0	138	339471640	N
0001376879-25-000005	0	26	7707219	N
0001172661-25-001847	0	147	334743743	
0001172661-25-001846	0	10	2905818692	
0001622627-25-000027	0	34	205636842	N
0001172661-25-001845	0	234	751097191	
0001587301-25-000011	0	3	24044059	
0001172661-25-001844	0	119	235147453	
0001587301-25-000010	0	3	25599151	
0001172661-25-001843	0	64	65045658	
0001587301-25-000009	0	3	23611861	
0001172661-25-001842	0	98	1395919382	
0001697024-25-000002	0	39	134041774	N
0001280965-25-000004	0	56	8270706766	N
0002052590-25-000002	0	53	88379222	N
0001587301-25-000008	0	6	135946819	
0001842054-25-000003	0	143	283123754	N
0001172661-25-001841	3	167	152660812	
0001081668-25-000006	0	49	329193277	N
0001172661-25-001839	1	6	105124964	
0001592178-25-000002	0	48	190843337	N
0001578242-25-000002	0	217	4358213415	N
0001587301-25-000007	0	6	136633320	
0001172661-25-001838	0	6	33470000	
0001172661-25-001837	0	181	309714156	
0001587301-25-000006	0	5	111279268	
0001085146-25-003137	0	126	983683738	N
0001587301-25-000005	0	5	118153051	
0001604350-25-000016	0	25	1733402855	
0001172661-25-001836	0	189	964594470	
0000920441-25-000005	0	229	411681462	N
0001062993-25-009332	0	652	110023855648	N
0001214659-25-007559	0	324	370052818	
0001587301-25-000004	0	5	99129607	
0001420506-25-001089	0	146	408256357	N
0001172661-25-001835	0	64	38998050586	
0001546190-25-000004	0	10	578645646	N
0001587301-25-000003	0	5	111101524	N
0002012280-25-000003	0	145	263106224	N
0001172661-25-001834	0	1038	2194411173	
0001172661-25-001833	0	160	155825803	
0001908965-25-000003	0	215	143132512	N
0001172661-25-001832	1	3938	61228167276	
0001214659-25-007555	0	77	256128504	
0001966116-25-000003	0	57	128708345	N
0001993399-25-000003	0	33	74248407	N
0001172661-25-001831	0	33	161638814	
0001214659-25-007553	0	38	733085569	
0001172661-25-001830	0	113	104148356	
0001172661-25-001829	0	193	538517991	
0001172661-25-001828	0	664	21554169616	
0001589176-25-000003	1	107	776612693	N
0001420506-25-001086	0	66	237289157	N
0001317348-25-000002	0	468	1331297113	N
0001513779-25-000002	0	60	185055	N
0001315863-25-000384	0	27	611668651	N
0002011550-25-000003	0	275	67725623	N
0001172661-25-001827	0	118	172993226	
0001029311-25-000006	0	118	758471366	
0000919574-25-002913	0	128	832639345	
0001213900-25-043118	1	1	7058400	
0001728681-25-000003	0	74	704564	N
0001172661-25-001826	1	112	172947808	
0001986152-25-000043	0	62	448291127	N
0001172661-25-001825	4	550	1284898186	
0001213900-25-043117	0	30	690777053	
0001172661-25-001824	0	238	333516174	
0001352467-25-000004	0	245	1415972461	N
0002056410-25-000003	0	76	99866998	N
0002010947-25-000007	0	225	102004250	N
0002010204-25-000002	0	22	1572274183	N
0000919574-25-002912	0	12	115295472	
0001228242-25-000009	0	708	16237976237	N
0001172661-25-001823	0	87	96253648	
0001546531-25-000003	1	3	12744105	N
0001546531-25-000002	3	17	2024090333	N
0000919574-25-002911	0	16	309685713	
0002056410-25-000002	0	78	100911457	N
0001085601-25-000004	0	47	2284658073	N
0001965542-25-000004	1	28	164032674	N
0001633275-25-000007	0	398	1458372729	N
0001172661-25-001821	0	58	193431477	
0001817681-25-000003	0	1	149789071	N
0001172661-25-001820	0	399	1500721619	
0001798736-25-000002	0	191	170273539	N
0002047271-25-000003	0	689	103305902	N
0001600064-25-000007	2	2270	12293960263	N
0001763958-25-000006	0	39	191554132	N
0001062993-25-009329	0	27	5161489730	N
0001894571-25-000003	0	21	955314402	N
0001566493-25-000003	0	176	366383543	N
0000950123-25-005098	13	11118	370457796877	N
0001062993-25-009327	0	332	2431205681	N
0000905148-25-001617	2	594	5436714337	
0000872162-25-000006	0	49	1720989178	N
0001172661-25-001819	0	84	351136670	
0001800217-25-000005	0	81	346684437	N
0002011050-25-000002	3	117	122980	N
0001172661-25-001818	0	60	110809387	
0001398344-25-009360	0	149	5068795482	
0001405086-25-000131	2	10	21761780	N
0001172661-25-001817	0	60	112489835	
0000935836-25-000327	0	1	0	
0001582681-25-000004	0	793	8986332	N
0001765380-25-000229	0	154	980987876	N
0001172661-25-001816	0	46	845069378	
0001838211-25-000005	0	22	335176572	N
0001665337-25-000004	16	694	502327840	
0000935836-25-000326	0	14	141269520	
0001172661-25-001815	0	105	3311844260	
0001951757-25-000560	4	1064	8341187219	N
0001172661-25-001814	0	72	167296034	
0001765536-25-000004	0	706	3568500029	N
0001172661-25-001813	1	91	964682492	
0001828776-25-000005	0	45	405204690	N
0001912970-25-000002	0	63	176589930	N
0001104659-25-048350	0	42	311828143	
0001765380-25-000228	0	159	823629281	N
0001172661-25-001812	0	50	396361704	
0000950123-25-005096	0	234	1077054761	N
0001085146-25-003124	0	39	1944572302	N
0001085146-25-003123	0	20	349718720	N
0001172661-25-001810	0	41	552388448	
0001085146-25-003121	0	122	201043293	N
0001393825-25-000010	1	1339	32431141950	
0001085146-25-003120	1	184	567296121	N
0001398344-25-009356	0	16	1512285891	
0001104659-25-048342	0	90	3739310059	
0001941040-25-000297	0	362	2783926735	
0000108634-25-000006	0	98	109676928	N
0001801547-25-000002	0	21	1235176748	N
0000764532-25-000008	0	66	10351333809	N
0001172661-25-001809	0	75	205415974	
0001119376-25-000005	0	12	48974	N
0001571075-25-000003	0	54	156892	N
0000905729-25-000093	0	176	818911120	
0001172661-25-001808	0	14	227346992	
0001062993-25-009325	0	58	485152855	N
0001140361-25-018837	2	632	3402784826	
0001172661-25-001807	0	115	989957534	
0001512920-25-000003	0	195	1844077789	
0001172661-25-001806	0	131	376509534	
0001214659-25-007548	0	35	145024506	
0001172661-25-001805	0	132	469669034	
0001420506-25-001079	0	8	126258679	N
0001830819-25-000006	0	2747	20663398875	N
0002045104-25-000004	0	10	65385266	N
0001730299-25-000002	0	57	131547	N
0002033266-25-000002	1	3	127856475	N
0001144969-25-000004	1	91	1748812605	N
0001601407-25-000003	0	30	3098503630	N
0001907281-25-000002	0	689	130656702	N
0001816616-25-000004	0	59	2217773919	N
0001104659-25-048324	3	4	206252127	
0001421224-25-000005	0	1352	46734496454	N
0000897069-25-000979	0	38	1298444752	
0001361974-25-000008	0	205	17352124	N
0000850529-25-000003	0	999	230997481218	N
0001405086-25-000129	0	114	1781946172	N
0000897069-25-000977	0	4	101105037	
0002010278-25-000004	0	190	484655932	N
0002021047-25-000001	0	247	356382119	N
0001104659-25-048317	0	2	148710752	
0001114928-25-000004	0	56	2257233951	N
0000950123-25-005086	3	717	12570823816	N
0000900440-25-000081	1	35	152588	N
0001667731-25-000638	0	108	869414634	
0001213900-25-043059	0	8	996164437	
0001951757-25-000559	0	44	94084000	N
0001642570-25-000006	0	197	719518181	N
0001172661-25-001804	0	127	250920251	
0001951757-25-000558	0	48	168666777	N
0000950123-25-005081	0	29	524719966	N
0001053906-25-000010	5	2	884228437	
0001085146-25-003107	0	35	1388630273	N
0001758811-25-000003	0	20	319898509	
0001344717-25-000004	0	330	618989414	N
0000049196-25-000043	0	5390	13804849758	N
0002055344-25-000002	2	87	174834340	N
0001085146-25-003106	0	96	5855982185	N
0001085146-25-003105	0	0	0	N
0001085146-25-003104	0	0	0	N
0001105863-25-000002	0	172	670939107	N
0001085146-25-003103	12	38	458992824	N
0001968507-25-000004	0	210	227600622	N
0001085146-25-003102	0	0	0	N
0001085146-25-003101	0	0	0	N
0000892712-25-000065	1	95	328972519	N
0001085146-25-003100	0	0	0	N
0001085146-25-003099	0	0	0	N
0001085146-25-003098	0	0	0	N
0001085146-25-003097	0	0	0	N
0001085146-25-003096	0	0	0	N
0001466697-25-000012	0	903	2373028	N
0001085146-25-003095	0	0	0	N
0001085146-25-003094	0	0	0	N
0001801573-25-000002	0	57	145454628	N
0001725547-25-002245	0	150	139880557	N
0000950123-25-005077	1	20	282115124	N
0002051288-25-000007	0	49	163351568	N
0001214659-25-007540	2	186	711090691	
0001549408-25-000006	0	11	134026042	N
0001575151-25-000004	0	192	220372861	N
0001104659-25-048299	0	182	5915784206	
0000080255-25-000284	6	4508	811616728	
0000936944-25-000005	1	1117	3928915840	N
