ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001085146-25-003139	196356	0001054554	028-06668	000142219	801-35529	OAK RIDGE INVESTMENTS LLC
0001085146-25-003139	196309	0001569141	028-15235	000317544	801-122856	Alley Co LLC
0001085146-25-003139	196310	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001085146-25-003139	196311	0001520601	028-14467	000108278	801-42015	AFFINITY INVESTMENT ADVISORS, LLC
0001085146-25-003139	196312	0001093589	028-05119	000106786	801-50778	ALTA CAPITAL MANAGEMENT LLC/
0001085146-25-003139	196313	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
0001085146-25-003139	196314	0001697267	028-18496	000285721	801-108579	Aristotle Atlantic Partners, LLC
0001085146-25-003139	196315	0000949012	028-05034	000145463	801-68485	BERKSHIRE ASSET MANAGEMENT LLC/PA
0001085146-25-003139	196316	0001305227	028-12016	000108928	801-56972	BlackRock Investment Management, LLC
0001085146-25-003139	196317	0001386060	028-12484	000124982	801-61786	Boston Partners
0001085146-25-003139	196318	0001015079	028-05620	000105404	801-24896	BRANDES INVESTMENT PARTNERS, LP
0001085146-25-003139	196319	0001114667	028-05775	000110181	801-38826	Brown Advisory LLC
0001085146-25-003139	196357	0000932859	028-04558	000107033	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001085146-25-003139	196358	0000081273	028-00090	000107738	801-7974	PUTNAM INVESTMENT MANAGEMENT LLC
0001085146-25-003139	196359	0001034524	028-03687	000029433	801-15180	POLEN CAPITAL MANAGEMENT LLC
0001085146-25-003139	196360	0001554656	028-15157	000110096	801-71732	Raub Brock Capital Management LP
0001172661-25-001859	197187	0001557017	028-17203	000163729	802-113693	Capula Management Ltd
0001172661-25-001857	196901	0001557017	028-17203	000163729	802-113693	Capula Management Ltd
0002044445-25-000005	196626	0002005245	028-24464			Siren, L.L.C.
0001172661-25-001856	196276	0001557017	028-17203	000163729	802-113693	Capula Management Ltd
0000919574-25-002928	196772	0001558971	028-16076	000164648	801-76834	Tekne Capital Management, LLC
0001802978-25-000005	196436	0002005245	028-24464			Siren, L.L.C.
0001879635-25-000002	196693	1996109				SALT Holding Corp.
0001446578-25-000002	196802	1996109				SALT Holding Corp.
0001104659-25-048393	196383	0001046187	028-06538			AEW CAPITAL MANAGEMENT L P
0001434820-25-000008	196927	0001323255	028-11397			APG Asset Management US Inc.
0001434820-25-000008	196926	0001434819	028-13074			APG Asset Management N.V.
0001283968-25-000005	196860	0001053906	028-15027			Artal Group S.A.
0001765923-25-000003	196849	0001996244	028-23822			SIH Partners, LLLP
0001765924-25-000002	196385	0001996244	028-23822			SIH Partners, LLLP
0002011591-25-000002	196434	0001996244	028-23822			SIH Partners, LLLP
0001460840-25-000005	196464	0001053906	028-15027			Artal Group S.A.
0002068210-25-000001	196256	0002022297	028-24160			Federation des caisses Desjardins du Quebec
0002068210-25-000001	196257	0001563660	028-21533			Desjardins Global Asset Management Inc.
0002009262-25-000002	196294	0001879628	028-22415			Susquehanna Capital Management, LLC
0001879009-25-000002	196804	0001879628	028-22415			Susquehanna Capital Management, LLC
0002048403-25-000005	196184	0001053906	028-15027			Artal Group S.A.
0001522131-25-000006	196307	0001053906	028-15027			Artal Group S.A.
0001739439-25-000012	196916	0001739439	028-18743			Rockefeller Capital Management L.P.
0001839852-25-000003	196763	0001446194	028-13216			SUSQUEHANNA INTERNATIONAL GROUP, LLP
0001739439-25-000011	196624	0001739439	028-18743			Rockefeller Capital Management L.P.
0001446580-25-000031	196219	0001446194	028-13216			SUSQUEHANNA INTERNATIONAL GROUP, LLP
0000918950-25-000003	196458	0001446194	028-13216			SUSQUEHANNA INTERNATIONAL GROUP, LLP
